url_cidade,codigo_cidade,cidade,uf
http://www.cptec.inpe.br/cidades/tempo/3287,3287,MIRANTE DO PARANAPANEMA,SP
http://www.cptec.inpe.br/cidades/tempo/1607,1607,CORDISBURGO,MG
http://www.cptec.inpe.br/cidades/tempo/274,274,AÇU,RN
http://www.cptec.inpe.br/cidades/tempo/1051,1051,CABACEIRAS,PB
http://www.cptec.inpe.br/cidades/tempo/5350,5350,TEFÉ,AM
http://www.cptec.inpe.br/cidades/tempo/4164,4164,POTIRAGUÁ,BA
http://www.cptec.inpe.br/cidades/tempo/452,452,AMPARO DO SERRA,MG
http://www.cptec.inpe.br/cidades/tempo/5062,5062,SÃO SEBASTIÃO DO OESTE,MG
http://www.cptec.inpe.br/cidades/tempo/4728,4728,SANTO ANTÔNIO DO MONTE,MG
http://www.cptec.inpe.br/cidades/tempo/1556,1556,CONCEIÇÃO DE IPANEMA,MG
http://www.cptec.inpe.br/cidades/tempo/5785,5785,SANTA CRUZ DO XINGU,MT
http://www.cptec.inpe.br/cidades/tempo/5217,5217,SIMÃO PEREIRA,MG
http://www.cptec.inpe.br/cidades/tempo/5465,5465,TROMBAS,GO
http://www.cptec.inpe.br/cidades/tempo/3171,3171,MARMELÓPOLIS,MG
http://www.cptec.inpe.br/cidades/tempo/1499,1499,CIDADE OCIDENTAL,GO
http://www.cptec.inpe.br/cidades/tempo/1614,1614,CORNÉLIO PROCÓPIO,PR
http://www.cptec.inpe.br/cidades/tempo/3515,3515,NOVA FLORESTA,PB
http://www.cptec.inpe.br/cidades/tempo/4068,4068,POCINHOS,PB
http://www.cptec.inpe.br/cidades/tempo/5095,5095,SAPUCAIA,PA
http://www.cptec.inpe.br/cidades/tempo/4109,4109,PONTO CHIQUE,MG
http://www.cptec.inpe.br/cidades/tempo/514,514,APARECIDA,SP
http://www.cptec.inpe.br/cidades/tempo/1978,1978,FEIRA NOVA,PE
http://www.cptec.inpe.br/cidades/tempo/894,894,BOCAIÚVA DO SUL,PR
http://www.cptec.inpe.br/cidades/tempo/3359,3359,MONTES CLAROS DE GOIÁS,GO
http://www.cptec.inpe.br/cidades/tempo/807,807,BEBEDOURO,SP
http://www.cptec.inpe.br/cidades/tempo/4604,4604,SANTA MARIA DE ITABIRA,MG
http://www.cptec.inpe.br/cidades/tempo/2156,2156,GOVERNADOR DIX-SEPT ROSADO,RN
http://www.cptec.inpe.br/cidades/tempo/3801,3801,PARIPIRANGA,BA
http://www.cptec.inpe.br/cidades/tempo/1133,1133,CAJURU,SP
http://www.cptec.inpe.br/cidades/tempo/5655,5655,VIÇOSA DO CEARÁ,CE
http://www.cptec.inpe.br/cidades/tempo/2101,2101,GARRAFÃO DO NORTE,PA
http://www.cptec.inpe.br/cidades/tempo/2373,2373,IGUATU,PR
http://www.cptec.inpe.br/cidades/tempo/849,849,BERNARDO DO MEARIM,MA
http://www.cptec.inpe.br/cidades/tempo/4148,4148,PORTO MURTINHO,MS
http://www.cptec.inpe.br/cidades/tempo/1012,1012,BRITÂNIA,GO
http://www.cptec.inpe.br/cidades/tempo/4398,4398,RIO GRANDE DA SERRA,SP
http://www.cptec.inpe.br/cidades/tempo/1254,1254,CANDÓI,PR
http://www.cptec.inpe.br/cidades/tempo/2186,2186,GUAÇUÍ,ES
http://www.cptec.inpe.br/cidades/tempo/1520,1520,CODAJÁS,AM
http://www.cptec.inpe.br/cidades/tempo/3158,3158,MARILENA,PR
http://www.cptec.inpe.br/cidades/tempo/3672,3672,OURO PRETO,MG
http://www.cptec.inpe.br/cidades/tempo/4127,4127,PORTO ALEGRE DO NORTE,MT
http://www.cptec.inpe.br/cidades/tempo/4491,4491,SALITRE,CE
http://www.cptec.inpe.br/cidades/tempo/464,464,ANAPU,PA
http://www.cptec.inpe.br/cidades/tempo/4549,4549,SANTA CRUZ DO ARARI,PA
http://www.cptec.inpe.br/cidades/tempo/863,863,BIQUINHAS,MG
http://www.cptec.inpe.br/cidades/tempo/1303,1303,CAPITÃO POÇO,PA
http://www.cptec.inpe.br/cidades/tempo/2778,2778,JERÔNIMO MONTEIRO,ES
http://www.cptec.inpe.br/cidades/tempo/4183,4183,PRATA,PB
http://www.cptec.inpe.br/cidades/tempo/1270,1270,CANTAGALO,PR
http://www.cptec.inpe.br/cidades/tempo/1913,1913,ESPERANÇA DO SUL,RS
http://www.cptec.inpe.br/cidades/tempo/3118,3118,MARAIAL,PE
http://www.cptec.inpe.br/cidades/tempo/2432,2432,IPATINGA,MG
http://www.cptec.inpe.br/cidades/tempo/2062,2062,FRANCISCO DANTAS,RN
http://www.cptec.inpe.br/cidades/tempo/5323,5323,TAPIRAMUTÁ,BA
http://www.cptec.inpe.br/cidades/tempo/2883,2883,LAGOA DA CONFUSÃO,TO
http://www.cptec.inpe.br/cidades/tempo/2370,2370,IGUATAMA,MG
http://www.cptec.inpe.br/cidades/tempo/3084,3084,MANDAGUARI,PR
http://www.cptec.inpe.br/cidades/tempo/2849,2849,JURAMENTO,MG
http://www.cptec.inpe.br/cidades/tempo/5045,5045,SÃO ROMÃO,MG
http://www.cptec.inpe.br/cidades/tempo/3679,3679,OURO VERDE DO OESTE,PR
http://www.cptec.inpe.br/cidades/tempo/2581,2581,ITAPEVA,MG
http://www.cptec.inpe.br/cidades/tempo/681,681,AVARÉ,SP
http://www.cptec.inpe.br/cidades/tempo/1153,1153,CAMARAGIBE,PE
http://www.cptec.inpe.br/cidades/tempo/4439,4439,ROLIM DE MOURA,RO
http://www.cptec.inpe.br/cidades/tempo/5245,5245,SOLIDÃO,PE
http://www.cptec.inpe.br/cidades/tempo/951,951,BONITO DE SANTA FÉ,PB
http://www.cptec.inpe.br/cidades/tempo/817,817,BELA VISTA DO TOLDO,SC
http://www.cptec.inpe.br/cidades/tempo/1618,1618,COROMANDEL,MG
http://www.cptec.inpe.br/cidades/tempo/3929,3929,PEREIRAS,SP
http://www.cptec.inpe.br/cidades/tempo/5051,5051,SÃO SEBASTIÃO,SP
http://www.cptec.inpe.br/cidades/tempo/4634,4634,SANTA ROSA,RS
http://www.cptec.inpe.br/cidades/tempo/1656,1656,COSTA RICA,MS
http://www.cptec.inpe.br/cidades/tempo/1584,1584,CONGONHAL,MG
http://www.cptec.inpe.br/cidades/tempo/2327,2327,IBIRATAIA,BA
http://www.cptec.inpe.br/cidades/tempo/3914,3914,PELOTAS,RS
http://www.cptec.inpe.br/cidades/tempo/5394,5394,TIJUCAS,SC
http://www.cptec.inpe.br/cidades/tempo/662,662,ATALÉIA,MG
http://www.cptec.inpe.br/cidades/tempo/5165,5165,SERRA DO NAVIO,AP
http://www.cptec.inpe.br/cidades/tempo/3587,3587,NOVO BRASIL,GO
http://www.cptec.inpe.br/cidades/tempo/3220,3220,MATUTINA,MG
http://www.cptec.inpe.br/cidades/tempo/5764,5764,PINTO BANDEIRA,RS
http://www.cptec.inpe.br/cidades/tempo/5096,5096,SAPUCAIA,RJ
http://www.cptec.inpe.br/cidades/tempo/3213,3213,MATÕES DO NORTE,MA
http://www.cptec.inpe.br/cidades/tempo/5845,5845,SÃO BENTINHO,PB
http://www.cptec.inpe.br/cidades/tempo/4247,4247,QUEIMADA NOVA,PI
http://www.cptec.inpe.br/cidades/tempo/592,592,ARARIPINA,PE
http://www.cptec.inpe.br/cidades/tempo/1448,1448,CENTRO DO GUILHERME,MA
http://www.cptec.inpe.br/cidades/tempo/3050,3050,MÃE DO RIO,PA
http://www.cptec.inpe.br/cidades/tempo/2097,2097,GARARU,SE
